videoTitle,videoPlaylist,videoURL,videoView,videoType,dateDL,isAvailable
Guile's theme extended,Street Fighter,https://youtube.com/watch?v=JGw8DWctAts,9432856,Anime,2022-06-14,True
Super Smash Bros. Ultimate Main Theme - Lifelight,SSBU,https://youtube.com/watch?v=EhgDibw7vB4,19060486,Anime,2022-06-14,True
BTOOOM! - Opening VO,BTOOOM,https://youtube.com/watch?v=5GjbLOe_cgw,2150311,Anime,2022-06-14,True
Btooom! Opening 2 HD 1080p,BTOOOM,https://youtube.com/watch?v=bpF2pvBHklc,209379,Anime,2022-06-14,True
Btooom! ED Sub Español,BTOOOM,https://youtube.com/watch?v=VjxVcupCJ38,38115,Anime,2022-06-14,True
GOBLIN SLAYER - Opening | Rightfully,Goblin Slayer,https://youtube.com/watch?v=0i0z98M2y5U,7731682,Anime,2022-06-14,True
Overlord III - Opening | VORACITY,Overlord,https://youtube.com/watch?v=vci9YwpFFcA,9712350,Anime,2022-06-14,True
Overlord – Opening Theme – Clattanoia,Overlord,https://youtube.com/watch?v=KOWcj7XKnfQ,22283274,Anime,2022-06-14,True
Overlord II - Opening | Go Cry Go,Overlord,https://youtube.com/watch?v=v4OKxyQdTvg,1959558,Anime,2022-06-14,True
Overlord - Ending Theme 1,Overlord,https://youtube.com/watch?v=ChayFwyFvPk,1783624,Anime,2022-06-14,True
"""Kawaki wo Ameku (カワキヲアメク)"" by Minami | Domestic Girlfriend",Domestic Girlfriend,https://youtube.com/watch?v=Ua5UARWRYLA,14147621,Anime,2022-06-14,True
"Fini les tendinites du tendon d’Achille, avec la méthode de Stanish !",Domestic Girlfriend,https://youtube.com/watch?v=DgVpNbMBbLk,57919,Anime,2022-06-14,True
Rent-a-Girlfriend - Opening | Centimeter,Kanojo Okarishimasu,https://youtube.com/watch?v=cM1WSovcn4I,13629142,Anime,2022-06-14,True
Ballroom e Youkoso opening 1,Ballroom e Youkoso,https://youtube.com/watch?v=EefNiVvWAB0,820479,Anime,2022-06-14,True
Bakuman S2 OP2 - Dream of Life English Lyrics (Season / Series 2 Opening + Subtitles),Bakuman,https://youtube.com/watch?v=kkEQ58iMmNg,1191403,Anime,2022-06-14,True
