videoTitle,videoPlaylist,videoURL,videoView,videoType,dateDL,isAvailable
Light of the Seven,Game of Thrones,https://youtube.com/watch?v=6LASz6HAL7E,18073897,Film,2022-06-14,True
Gladiator Soundtrack- The Battle,Gladiator,https://youtube.com/watch?v=unb3FdsT5fQ,2939037,Film,2022-06-14,True
The Dark Knight • Main Theme • Hans Zimmer,The Dark Knight,https://youtube.com/watch?v=B4XGvrrz8_Y,623082,Film,2022-06-14,True
Rocky III • Eye of the Tiger • Survivor,Rocky Balboa,https://youtube.com/watch?v=ERT_7u5L0dc,93412313,Film,2022-06-14,True
Skyfall Opening Credits (4K UHD 60FPS),James Bond,https://youtube.com/watch?v=ff_PrgwfCHA,42744,Film,2022-06-14,True
Matrix Reloaded - Clubbed to Death (Rob Dougan) [Remastered],Matrix,https://youtube.com/watch?v=tnVqe3rGMkg,342135,Film,2022-06-14,True
The Godfather - Love Theme HQ - Nino Rota,The GodFather,https://youtube.com/watch?v=zbSMCyJkUmI,1950359,Film,2022-06-14,True
Tokyo Drift - Teriyaki Boyz [ MUSIC VIDEO ] HD,Fast and Furious,https://youtube.com/watch?v=iuJDhFRDx9M,395339800,Film,2022-06-14,True
AVATAR.  I See You(Leona Lewis) - fanedit HD Music Video with Lyrcis,Avatar,https://youtube.com/watch?v=17MwjuZGXqU,116169,Film,2022-06-14,True
Pearl Harbor - Tennessee,Pearl Harbor,https://youtube.com/watch?v=OVxVQrAb8NY,2568940,Film,2022-06-14,True
Indiana Jones Theme Song [HD],Indiana Jones,https://youtube.com/watch?v=-bTpp8PQSog,41727681,Film,2022-06-14,True
